judul,catatan,kategori,deadline,waktu_dibuat,prioritas
Ngoding Portofolio,Membuat portofolio pribadi,Kerja,2025-04-17 20:00,2025-04-18 20:00,Tinggi
Update Readme,Update dokumentasi,Kerja,2025-04-17 19:00,2025-04-21 19:00,Sedang
Deadline Revisi,Revisi project kemarin,Kerja,2025-04-17 18:00,2025-04-18 12:00,Tinggi
Diskusi Tim,Persiapan meeting,Kerja,2025-04-17 17:30,2025-04-19 18:00,Sedang
Pengerjaan Tugas Final,Tugas akhir semester,Kuliah,2025-04-16 14:00,2025-04-23 14:00,Sedang
Submit Jurnal,Upload jurnal mingguan,Kuliah,2025-04-15 13:00,2025-04-22 13:00,Sedang
Review Materi UTS,Persiapan ujian tengah semester,Kuliah,2025-04-15 12:00,2025-04-21 12:00,Sedang
Wishlist Gadget,Catat list gadget impian,Wishlist,2025-04-14 19:00,2025-05-10 19:00,Rendah
Cek Harga Tiket,Rencana liburan,Wishlist,2025-04-13 18:00,2025-05-05 18:00,Rendah
Rencana Makan Malam,Buat planning romantis,Romantis,2025-04-17 18:00,2025-04-20 18:00,Sedang
Surprise Gift,Cari hadiah kecil,Romantis,2025-04-16 19:00,2025-04-23 20:00,Rendah
Reminder Kado Ultah,Catat ide kado,Ulang Tahun,2025-04-15 11:00,2025-04-22 11:00,Sedang
Bikin Banner Digital,Persiapan ultah,Ulang Tahun,2025-04-16 09:00,2025-04-20 09:00,Sedang
